"id","school.name","school.state","school.degrees_awarded.highest","school.institutional_characteristics.level","2013.earnings.6_yrs_after_entry.not_working_not_enrolled.overall","2013.earnings.6_yrs_after_entry.working_not_enrolled.overall","2013.completion.title_iv.completed_by.4yrs","2013.completion.completion_rate_4yr_100nt","2013.completion.transfer_rate.4yr.full_time","2013.aid.federal_loan_rate","2013.aid.median_debt.female_students","2013.aid.median_debt.male_students","2013.aid.cumulative_debt.number","2013.student.size"
"227429","Paul Quinn College","TX","3","1","40","319","0.149253731","0.0098","0.3922","0.8698","9750.0","9500.0","165","243"
"224545","Texas A&M University-Texarkana","TX","4","1","43","386","0.531976744","","","0.3971","7500.0","6455.0","828","1392"
"223506","Brazosport College","TX","3","1","90","377","0.103703704","","0.3239","0.0315","3500.0","3500.0","220","3217"
"224244","Dallas Christian College","TX","3","1","","122","0.261904762","0.186","0.3488","0.7239","14625.0","11035.0","222","316"
"226879","Wade College","TX","3","1","38","233","0.491712707","","0.0","0.9075","18525.0","20248.0","285","201"
"227313","Ogle School Hair Skin Nails-Arlington","TX","1","3","76","302","0.641791045","","","0.7787","7917.0","8562.0","804","212"
"223472","Vet Tech Institute of Houston","TX","2","2","27","146","0.472361809","","","0.8205","11287.0","6256.0","366","192"
"230728","Utah State University","UT","4","1","721","3835","0.31825273","0.2509","0.0","0.3227","6500.0","6500.0","9071","20775"
"230782","Weber State University","UT","4","1","473","3607","0.261109832","0.1405","0.2141","0.2732","6500.0","6436.0","8294","17314"
"230861","Community College of Vermont","VT","2","2","355","1856","0.123485555","","","0.3135","4500.0","4250.0","2830","4401"
"204699","Ohio State University-Marion Campus","OH","3","1","870","12303","0.522793405","0.2087","0.0","0.5613","14776.5","14382.0","19991","1192"
"204662","Ohio State University Agricultural Technical Institute","OH","2","2","870","12303","0.522793405","","","0.5703","14776.5","14382.0","19991","628"
"204820","Ohio University-Chillicothe Campus","OH","2","1","754","7670","0.383605019","0.04","0.343","0.6072","12500.0","12000.0","16777","2219"
"204015","Miami University-Middletown","OH","3","1","347","4309","0.453670886","0.043","0.0","0.5841","14991.0","12000.0","8234","1765"
"203748","Lorain County Community College","OH","2","2","412","2214","0.065819209","","","0.2496","5061.0","3827.0","4378","10582"
"204334","National Beauty College","OH","1","3","","94","0.607594937","","","0.5634","","","130","78"
"204422","North Central State College","OH","2","2","173","1148","0.184191955","","","0.4629","4500.0","3500.0","1882","2479"
"204477","Northeast Ohio Medical University","OH","4","1","","67","","","","","3400.0","2500.0","129",""
"204486","University of Northwestern Ohio","OH","4","1","184","2470","0.481704261","0.2206","0.0455","0.7909","10167.0","12168.0","3556","4104"
"203775","Malone University","OH","4","1","57","806","0.42739726","0.4574","0.0","0.7211","18750.0","15375.0","1386","1571"
"204255","Zane State College","OH","2","2","220","942","0.186610879","","","0.5423","8500.0","6332.0","2160","2351"
"204635","Ohio Northern University","OH","4","1","32","877","0.621805792","0.5313","0.133","0.7284","25000.0","24971.0","1122","2205"
"217235","Johnson & Wales University-Providence","RI","4","1","496","7038","0.49388601","0.4286","0.0065","0.7804","19148.0","19000.0","9708","9067"
"218663","University of South Carolina-Columbia","SC","4","1","318","4986","0.60266535","0.5417","0.0921","0.4922","17535.0","17246.5","9102","23987"
"221102","Tennessee College of Applied Technology-Murfreesboro","TN","1","2","37","161","0.126903553","","","0.0","","","","335"
"221184","Nashville State Community College","TN","2","2","335","1941","0.149847095","","","0.3538","6000.0","5500.0","5216","8349"
"220057","Dyersburg State Community College","TN","2","2","151","860","0.141555711","","","0.2779","3500.0","3500.0","1358","2362"
"220251","Tennessee College of Applied Technology-Harriman","TN","1","2","71","180","0.072072072","","","0.0","","","","250"
"220279","Tennessee College of Applied Technology-Hartsville","TN","1","2","","142","0.119266055","","","0.0","","","","269"
"220394","Tennessee College of Applied Technology-Jacksboro","TN","1","2","45","145","","","","0.0","","","","246"
"220473","Johnson University","TN","4","1","32","256","0.390134529","0.4398","0.0","0.601","11000.0","12475.5","389","826"
"220002","Daymar College-Nashville","TN","3","1","394","1644","0.320631464","","0.0","0.8283","16540.0","11683.5","1699","138"
"220215","Freed-Hardeman University","TN","4","1","52","491","0.507109005","0.3844","0.0","0.6225","18097.0","15250.0","767","1290"
"221236","Tennessee College of Applied Technology-Newbern","TN","1","2","33","169","0.083333333","","","0.0","","","","240"
"221281","Tennessee College of Applied Technology-Paris","TN","1","2","94","353","0.127586207","","","0.0","","","","271"
"221351","Rhodes College","TN","4","1","","227","0.759259259","0.7412","0.2035","0.3979","23000.0","19250.0","485","2012"
"220552","South College","TN","4","1","186","929","0.18904824","0.2963","0.0652","0.7293","12000.0","9697.5","994","708"
"220710","Maryville College","TN","3","1","37","359","0.128378378","0.4669","0.0","0.7045","20000.0","13500.0","591","1139"
"222053","Volunteer State Community College","TN","2","2","267","2080","0.153184165","","","0.2042","3500.0","3500.0","3040","6415"
"221838","Tennessee State University","TN","4","1","170","1967","0.248631387","0.0782","0.1946","0.7748","13000.0","11000.0","5387","6669"
"221494","Tennessee College of Applied Technology-Shelbyville","TN","1","2","69","283","0.086956522","","","0.0","","","","436"
"221591","Tennessee College of Applied Technology-Crossville","TN","1","2","67","297","0.083665339","","","0.0","","","","270"
"221634","Tennessee College of Applied Technology-Whiteville","TN","1","2","40","123","","","","0.0","","","","184"
"221661","Southern Adventist University","TN","4","1","80","601","0.374592834","0.1919","0.1977","0.5863","14525.0","15000.0","1388","2693"
"221397","Roane State Community College","TN","2","2","312","1785","0.19665272","","","0.23","6400.0","5500.0","2077","4952"
"222062","Walters State Community College","TN","2","2","341","1725","0.220018034","","","0.1316","4137.0","3304.0","1167","4789"
"222178","Abilene Christian University","TX","4","1","88","1130","0.473684211","0.3665","0.0","0.5601","19165.0","17938.5","1615","3647"
"221485","Southwest Tennessee Community College","TN","2","2","478","3493","0.070223084","","","0.0","","","20","10217"
"220604","Le Moyne-Owen College","TN","3","1","39","209","0.105145414","0.0562","0.0","0.8312","10523.0","9000.0","1014","1009"
"222886","Arlington Career Institute","TX","1","2","84","329","0.547038328","","","0.7212","9456.0","8840.0","328","235"
"222877","Arlington Baptist College","TX","4","1","","","0.357142857","0.2","0.0","0.8369","15000.0","10625.0","93","230"
"217819","College of Charleston","SC","4","1","181","1961","0.604688332","0.5197","0.2746","0.4288","15000.0","14750.0","3898","10150"
"216010","Shippensburg University of Pennsylvania","PA","4","1","120","2330","0.51432958","0.3715","0.0","0.7063","17750.0","15000.0","3950","6493"
"217882","Clemson University","SC","4","1","164","2912","0.674454829","0.5914","0.1473","0.4174","19044.0","18750.0","5287","16801"
"217040","Yeshivath Beth Moshe","PA","3","1","","","","0.0","0.2353","0.4151","","","18","52"
"217059","York College Pennsylvania","PA","4","1","61","1713","0.514423077","0.3713","0.2914","0.6847","20500.0","17187.0","2632","4847"
"217305","New England Institute of Technology","RI","4","1","240","2224","0.378440367","","0.0","0.7645","13957.0","11777.0","2951","2860"
"218487","Orangeburg Calhoun Technical College","SC","2","2","176","878","0.157598499","","","0.2909","4001.0","3500.0","1485","2399"
"217989","Denmark Technical College","SC","2","2","234","846","0.051136364","","","0.6718","5050.0","4000.0","595","1804"
"218399","Morris College","SC","3","1","38","461","0.298543689","0.1356","0.3153","0.9291","11117.5","9500.0","793","822"
"217925","Columbia International University","SC","4","1","34","158","0.540540541","0.5217","0.0","0.8076","15000.0","15688.0","280","574"
"217961","Converse College","SC","4","1","25","212","0.515981735","0.5484","0.0","0.7771","","","409","744"
"219888","Columbia State Community College","TN","2","2","192","1300","0.167675545","","","0.2236","6000.0","5500.0","1723","4317"
"219879","Cleveland State Community College","TN","2","2","164","883","0.229482072","","","0.3517","5760.0","5250.0","1847","2978"
"219806","Carson-Newman University","TN","4","1","57","630","0.417376491","0.371","0.0","0.6586","16250.0","11000.0","973","1688"
"219082","Dakota State University","SD","4","1","38","614","0.310218978","0.1964","0.3086","0.4321","11251.5","10500.0","1227","1743"
"219408","Sisseton Wahpeton College","SD","2","2","","81","0.116504854","","","0.0","","","","189"
"219480","Western Dakota Technical Institute","SD","2","2","79","687","0.28125","","","0.7389","6286.5","7254.0","1193","1004"
"219383","University of Sioux Falls","SD","4","1","","507","0.54009434","0.3518","0.0","0.7345","14596.0","13731.0","925","1075"
"219240","Sioux Falls Seminary","SD","4","1","","","","","","","","","",""
"219295","Presentation College","SD","3","1","27","311","0.463636364","0.3333","0.0","0.807","16802.0","7500.0","598","728"
"219189","Mitchell Technical Institute","SD","2","2","45","512","0.609218437","","","0.6507","9500.0","9500.0","907","1136"
"219639","Baptist Memorial College of Health Sciences","TN","3","1","","410","0.451038576","0.3878","0.0","0.8121","20074.0","23000.0","684","1101"
"218335","Medical University of South Carolina","SC","4","1","","376","0.943310658","","","0.8824","3000.0","2500.0","796","205"
"218964","Winthrop University","SC","4","1","100","1564","0.485216073","0.3482","0.2635","0.6564","18000.0","16500.0","2678","4704"
"218733","South Carolina State University","SC","4","1","138","1544","0.240146654","0.137","0.2214","0.8187","20475.0","14500.0","2364","2876"
"218858","Central Carolina Technical College","SC","2","2","226","1115","0.133574007","","","0.3747","3500.0","3500.0","2622","4014"
"218885","Tri-County Technical College","SC","2","2","252","1521","0.051523129","","","0.2119","4750.0","4500.0","2346","5830"
"218821","Spartanburg Methodist College","SC","2","2","44","489","0.298795181","","","0.6979","6500.0","5925.0","757","813"
"218654","University of South Carolina-Beaufort","SC","3","1","50","466","0.282097649","0.0985","0.3258","0.6089","10500.0","8625.0","1126","1716"
"219055","Kilian Community College","SD","2","2","51","254","0.115226337","","","0.8364","6332.0","4834.0","390","213"
"218539","Presbyterian College","SC","4","1","","265","0.654618474","0.6","0.2655","0.5209","20000.0","14034.0","433","1069"
"217998","Erskine College","SC","4","1","","175","0.577181208","0.5153","0.2086","0.6173","19750.0","19687.5","246","574"
"218706","University of South Carolina-Union","SC","2","2","25","153","0.2","","","0.463","7017.0","5500.0","333","285"
"217712","Technical College of the Lowcountry","SC","2","2","118","708","0.123115578","","","0.1343","4000.0","4112.0","542","2262"
"216649","Washington Hospital School of Radiologic Technology","PA","1","2","","113","0.689189189","","","0.6667","","","119","25"
"216667","Washington & Jefferson College","PA","3","1","","443","0.725663717","0.734","0.2143","0.7481","27000.0","26530.0","685","1300"
"217864","Citadel Military College of South Carolina","SC","4","1","","635","0.581888247","0.623","0.0672","0.5215","13375.5","19128.0","1080","2660"
"217536","Salve Regina University","RI","4","1","","639","0.687635575","0.6079","0.0","0.7204","26000.0","20500.0","1014","1989"
"217156","Brown University","RI","4","1","75","763","0.89133627","0.8436","0.0","0.2317","14195.0","14653.0","1153","6182"
"216463","Trinity Episcopal School for Ministry","PA","4","1","","","","","","","","","",""
"216524","Ursinus College","PA","3","1","","400","0.786967419","0.7543","0.0","0.6988","27000.0","26958.5","721","1578"
"217493","Rhode Island School of Design","RI","4","1","78","568","0.848375451","0.723","0.0","0.3907","23000.0","26000.0","505","2005"
"216436","Triangle Tech Inc-Pittsburgh","PA","2","2","63","285","0.63559322","","","0.834","","","339","251"
"216454","Triangle Tech Inc-Dubois","PA","2","2","46","392","0.746312684","","","0.8081","","","323","184"
"217794","Charleston Cosmetology Institute","SC","1","3","33","133","0.622807018","","","0.4607","","","117","106"
"222992","Austin Community College District","TX","2","2","1047","6490","0.060369909","","","0.2822","3500.0","3500.0","12035","32715"
"223117","Baptist Missionary Association Theological Seminary","TX","4","1","","","","1.0","0.0","0.2","","","10","55"
"223232","Baylor University","TX","4","1","187","2318","0.611156023","0.5718","0.0","0.4916","20500.0","18412.0","4536","13221"
"223816","Central Texas College","TX","2","2","508","2087","0.070355354","","","0.3037","3563.0","3500.0","3540","16076"
